booking_id,client_name,city,month,service_type,fnb_order,group_size,duration_hours,revenue_eur,supply_cost_eur,satisfaction_score,profit_eur
1,Irmingard Aumann,Berlin,12,Group Session,Champagne,9,2,207,88,5,119
2,Gertraud Scheuermann,Berlin,3,Group Session,Pizza,2,1,241,34,2,207
3,Eckhart Tschentscher B.Eng.,Frankfurt,11,Private Spa,Champagne,6,3,531,76,2,455
4,Gereon Heß,Munich,2,Group Session,Champagne,4,4,547,119,8,428
5,Sieghard Hendriks,Munich,5,Couples Session,Coca Cola,8,1,80,110,4,-30
6,Uta Wagner-Bolander,Munich,9,Group Session,Coca Cola,2,1,518,64,10,454
7,Ing. Wigbert Tschentscher MBA.,Berlin,11,Couples Session,None,5,2,287,65,4,222
8,Johanne Drewes B.Eng.,Darmstadt,11,Couples Session,Pizza,8,2,785,80,5,705
9,Oscar Girschner MBA.,Berlin,10,Private Spa,Coca Cola,4,4,215,101,9,114
10,Herr Hartmut Heinz,Darmstadt,6,Birthday Party,None,3,2,745,111,4,634
11,Otmar Stolze,Hamburg,2,Couples Session,Pizza,2,3,389,27,6,362
12,Sarah Wagner-Junken,Berlin,4,Group Session,Coca Cola,1,3,242,110,7,132
13,Dipl.-Ing. Marlen Austermühle B.Eng.,Berlin,11,Group Session,Champagne,5,1,360,56,5,304
14,Dr. Stefani Pruschke,Berlin,5,Couples Session,Champagne,7,2,175,68,3,107
15,Friedhold Kobelt MBA.,Munich,4,Group Session,Pizza,10,2,750,146,1,604
16,Claus Sauer,Munich,4,Private Spa,Pizza,7,1,449,99,9,350
17,Jasmina Schönland,Darmstadt,3,Group Session,Coca Cola,4,4,336,64,8,272
18,Karl-Otto Weihmann-Radisch,Darmstadt,1,Private Spa,Coca Cola,3,2,164,145,4,19
19,Freya Naser B.Sc.,Berlin,1,Couples Session,Pizza,6,2,460,29,8,431
20,Elias Stiebitz,Darmstadt,4,Couples Session,Pizza,10,4,760,43,6,717
21,Kasimir Henck MBA.,Munich,8,Couples Session,None,6,2,744,34,4,710
22,Dr. Andrei Knappe,Darmstadt,10,Private Spa,None,4,3,249,79,1,170
23,Geza Zahn MBA.,Hamburg,2,Group Session,None,3,3,133,76,1,57
24,Wolf-Rüdiger Meyer B.A.,Munich,8,Private Spa,Champagne,8,4,485,25,2,460
25,Klaas Mülichen-Bohlander,Hamburg,7,Group Session,Champagne,9,4,720,142,2,578
26,Sevim Dörr,Darmstadt,11,Group Session,None,8,3,392,20,10,372
27,Hildburg Beer,Frankfurt,10,Private Spa,None,8,3,796,104,8,692
28,Gebhard Gunpf-Hering,Berlin,4,Birthday Party,Pizza,5,3,319,71,3,248
29,Adam Dietz,Munich,12,Couples Session,Champagne,8,3,519,53,2,466
30,Heiko Kobelt,Hamburg,12,Group Session,None,1,4,751,107,9,644
31,Dr. Katja Gertz,Frankfurt,7,Group Session,Coffee,2,4,173,65,2,108
32,Prof. Zofia Löffler,Frankfurt,8,Private Spa,Coca Cola,7,1,800,102,2,698
33,Herr Waldemar Tröst,Munich,7,Birthday Party,None,9,4,177,35,5,142
34,Anna-Luise Wirth,Munich,4,Couples Session,Champagne,8,3,81,25,4,56
35,Kevin Tschentscher-Lübs,Frankfurt,3,Birthday Party,None,4,2,298,57,8,241
36,Dipl.-Ing. Irmhild Carsten,Berlin,11,Couples Session,Coffee,4,3,568,56,5,512
37,Univ.Prof. Dragan Schönland B.Eng.,Berlin,12,Group Session,Pizza,10,3,159,48,5,111
38,Siegbert Thanel,Hamburg,1,Group Session,Champagne,6,4,215,113,8,102
39,Karl-Dieter Wulff,Berlin,2,Private Spa,Pizza,1,1,687,38,1,649
40,Massimo Weihmann B.A.,Frankfurt,7,Private Spa,Coca Cola,1,2,311,115,2,196
41,Sara Bolander,Frankfurt,4,Birthday Party,Pizza,5,2,611,121,3,490
42,Rebecca Lehmann MBA.,Darmstadt,3,Birthday Party,None,8,1,776,45,1,731
43,Dr. Nico Gutknecht,Frankfurt,12,Couples Session,Coffee,10,3,535,106,5,429
44,Timo Budig,Berlin,9,Private Spa,Pizza,8,4,89,97,6,-8
45,Herr Meinrad Scheibe,Hamburg,8,Group Session,Coffee,5,3,88,102,6,-14
46,Josef Kitzmann,Darmstadt,1,Private Spa,Champagne,9,2,792,54,7,738
47,Ing. Holger Säuberlich,Berlin,9,Birthday Party,Champagne,1,2,431,60,2,371
48,Heribert Geisler,Hamburg,4,Private Spa,None,2,3,203,131,2,72
49,Ing. Gunda Heuser B.A.,Berlin,2,Group Session,None,7,2,512,144,1,368
50,Rocco Beer B.Eng.,Darmstadt,8,Private Spa,None,3,4,790,101,1,689
51,Ljiljana Stahr B.Sc.,Frankfurt,3,Birthday Party,Coffee,5,2,215,64,3,151
52,Kay-Uwe Pergande,Darmstadt,8,Group Session,Coca Cola,6,4,569,111,3,458
53,Geraldine Wieloch-Juncken,Frankfurt,11,Couples Session,Coca Cola,7,3,152,77,6,75
54,Mirella Stoll,Darmstadt,9,Couples Session,Coca Cola,6,3,314,64,6,250
55,Geza Vollbrecht B.A.,Munich,9,Group Session,Champagne,1,4,472,116,8,356
56,Nadeshda Klemt B.Sc.,Berlin,10,Group Session,Champagne,7,4,171,98,10,73
57,Renato Freudenberger,Berlin,6,Group Session,Coca Cola,1,4,184,95,5,89
58,Dr. Edith Killer B.Eng.,Munich,8,Birthday Party,None,10,2,185,52,2,133
59,Dipl.-Ing. Gregor Gehringer,Frankfurt,10,Group Session,Pizza,9,3,400,65,6,335
60,Ferdinand Graf-Flantz,Berlin,12,Birthday Party,Coca Cola,4,2,456,20,6,436
61,Prof. Gudrun Gröttner B.A.,Munich,9,Group Session,Pizza,6,2,386,120,3,266
62,Dr. Isa Dussen van MBA.,Berlin,7,Birthday Party,Coca Cola,9,4,220,28,2,192
63,Bertha Gumprich,Hamburg,9,Birthday Party,Pizza,5,2,471,66,7,405
64,Melanie Kensy-Nerger,Frankfurt,8,Private Spa,None,2,1,216,101,7,115
65,Hilda Weinhage,Hamburg,3,Couples Session,Champagne,7,1,736,76,8,660
66,Dipl.-Ing. Oswin Vollbrecht,Frankfurt,12,Group Session,Coca Cola,9,1,773,46,5,727
67,Hans-Günter Trub B.Sc.,Munich,8,Couples Session,Coca Cola,8,1,226,147,7,79
68,Bruno Schulz,Frankfurt,8,Couples Session,None,9,1,150,56,8,94
69,Hansjoachim Margraf,Frankfurt,5,Private Spa,Coffee,5,4,623,104,7,519
70,Johann Reising B.A.,Munich,4,Couples Session,Coca Cola,10,2,656,39,3,617
